stable_gene_id,KO_E12_FCL_1,KO_E12_FCL_2,KO_E12_FCL_3,S200A_3_FCL_1,S200A_3_FCL_2,S200A_3_FCL_3,S200A_5_FCL_1,S200A_5_FCL_2,S200WT_1_FCL_1,S200WT_1_FCL_2,S200WT_2_FCL_3
ENSMUSG00000026414,2,0,1,0,0,0,2,0,0,0,0
ENSMUSG00000026415,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026416,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026417,0,0,1,0,0,1,2,0,0,0,0
ENSMUSG00000026418,0,1,1,1,2,2,0,2,0,0,8
ENSMUSG00000026420,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026421,194,218,138,298,338,296,431,150,52,113,665
ENSMUSG00000026424,0,0,0,0,0,1,0,0,0,0,4
ENSMUSG00000026425,347,314,291,179,434,492,281,301,4,18,253
ENSMUSG00000026426,50,53,41,12,85,151,61,99,1,7,60
ENSMUSG00000026427,538,559,407,305,585,637,607,283,18,36,242
ENSMUSG00000026429,354,273,192,25,126,359,46,242,0,3,28
ENSMUSG00000026430,1,3,3,6,3,5,12,2,0,0,4
ENSMUSG00000026432,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000026433,47,37,36,87,100,89,84,45,2,3,73
ENSMUSG00000026434,11062,9213,9164,14879,19779,12832,23197,8160,924,1982,10505
ENSMUSG00000026435,9,11,3,0,7,8,17,7,0,0,11
ENSMUSG00000026436,113,78,63,33,101,154,69,104,0,3,120
ENSMUSG00000026437,49,30,20,39,40,50,108,39,6,14,99
ENSMUSG00000026439,656,528,458,438,800,856,628,392,7,46,374
ENSMUSG00000026442,15,4,8,13,28,5,36,19,3,10,103
ENSMUSG00000026443,27,39,27,15,68,98,27,20,0,0,5
ENSMUSG00000026447,5,8,10,5,5,25,11,7,0,3,7
ENSMUSG00000026450,0,0,0,3,0,0,0,0,0,0,2
ENSMUSG00000026452,1,0,2,1,0,0,1,0,0,0,1
ENSMUSG00000026455,312,267,247,186,258,356,357,219,4,9,181
ENSMUSG00000026456,1903,1469,1228,2803,2819,1854,3124,1175,85,278,1367
ENSMUSG00000026457,438,366,268,336,393,510,472,340,10,36,252
ENSMUSG00000026458,50,50,54,58,83,50,123,40,11,23,107
ENSMUSG00000026459,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026463,88,78,67,82,131,57,127,55,7,16,185
ENSMUSG00000026466,195,149,123,111,252,247,266,181,5,12,167
ENSMUSG00000026468,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026469,78,55,57,37,118,92,158,87,6,17,231
ENSMUSG00000026470,143,153,115,56,133,206,191,135,7,15,145
ENSMUSG00000026471,0,0,0,0,0,0,3,0,0,0,0
ENSMUSG00000026473,3465,2629,1860,1753,2478,3084,1947,1350,20,99,662
ENSMUSG00000026475,1,2,3,1,3,9,2,2,0,0,5
ENSMUSG00000026478,660,685,520,449,852,1151,606,513,18,39,328
ENSMUSG00000026479,78,34,49,90,92,90,126,39,14,21,259
ENSMUSG00000026480,0,0,2,4,2,5,2,5,1,1,17
ENSMUSG00000026482,15,6,8,8,5,8,15,5,1,1,7
ENSMUSG00000026483,169,152,92,110,187,188,198,133,11,20,251
ENSMUSG00000026484,850,805,556,576,829,957,827,505,19,69,603
ENSMUSG00000026489,20,20,9,19,50,22,40,7,1,5,17
ENSMUSG00000026490,93,93,83,73,146,121,151,127,5,8,158
ENSMUSG00000026491,686,589,542,563,773,802,830,517,21,60,365
ENSMUSG00000026492,241,205,215,168,266,279,381,182,8,27,137
ENSMUSG00000026494,3,0,3,1,16,2,0,0,2,0,9
ENSMUSG00000026495,51,46,52,27,45,64,51,50,0,10,79
ENSMUSG00000026496,3892,2661,2843,2262,5066,3889,4035,2637,65,219,1609
ENSMUSG00000026497,8,6,5,5,3,8,9,8,0,1,18
ENSMUSG00000026499,610,430,514,747,817,555,1152,444,46,156,892
ENSMUSG00000026500,383,397,281,308,604,524,759,340,6,49,490
ENSMUSG00000026502,299,327,240,185,309,315,396,256,9,21,246
ENSMUSG00000026504,36,20,27,54,44,20,69,16,1,5,32
ENSMUSG00000026509,162,111,115,229,183,214,276,102,3,15,131
ENSMUSG00000026510,83,85,63,38,66,104,84,85,5,10,67
ENSMUSG00000026511,1218,1009,619,211,637,1465,456,921,17,21,336
ENSMUSG00000026514,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026516,778,664,607,512,998,800,861,558,12,59,462
ENSMUSG00000026519,11,6,8,22,20,11,51,21,0,2,52
ENSMUSG00000026520,722,524,568,861,1248,857,1470,540,22,103,828
ENSMUSG00000026523,1,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000026525,0,2,3,6,6,3,12,6,0,4,17
ENSMUSG00000026526,842,707,582,112,647,1317,316,724,1,0,224
ENSMUSG00000026527,0,0,0,0,0,1,0,0,0,0,1
ENSMUSG00000026531,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026532,31,51,45,22,22,53,22,32,0,1,8
ENSMUSG00000026535,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026536,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026542,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026544,10,6,11,9,12,5,21,7,0,3,18
ENSMUSG00000026546,3,3,1,5,7,3,4,0,0,0,3
ENSMUSG00000026547,1023,901,713,1503,1682,1401,1883,715,80,230,1265
ENSMUSG00000026548,0,0,0,0,0,0,0,0,0,0,3
ENSMUSG00000026553,878,568,603,265,996,1132,714,828,16,46,770
ENSMUSG00000026554,474,427,354,480,711,610,787,391,20,62,401
ENSMUSG00000026556,498,368,364,394,746,615,1048,607,45,77,525
ENSMUSG00000026558,1442,1107,1002,1371,1941,1757,2052,1029,64,213,1483
ENSMUSG00000026560,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026563,83,46,47,37,73,49,88,47,0,3,47
ENSMUSG00000026564,9,15,4,15,22,15,14,2,0,0,1
ENSMUSG00000026565,786,697,583,332,1138,1018,781,793,6,41,609
ENSMUSG00000026566,330,288,231,270,460,485,347,270,11,32,344
ENSMUSG00000026567,0,0,0,0,0,0,3,0,0,0,1
ENSMUSG00000026568,168,130,110,90,237,276,197,184,0,12,151
ENSMUSG00000026571,99,90,91,113,120,103,253,74,15,37,240
ENSMUSG00000026572,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026573,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026574,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026575,708,634,456,228,620,800,411,373,6,22,194
ENSMUSG00000026576,1624,1262,1184,1755,2245,1750,2123,1213,70,152,1142
ENSMUSG00000026577,227,216,162,239,298,270,327,131,8,36,215
ENSMUSG00000026578,92,85,74,149,160,110,199,96,6,17,99
ENSMUSG00000026579,1,0,0,3,5,3,0,0,0,1,8
ENSMUSG00000026580,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026581,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026582,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026584,87,117,69,77,132,155,134,51,2,7,64
ENSMUSG00000026585,480,353,395,427,624,483,817,424,26,49,345
ENSMUSG00000026586,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026587,0,0,2,0,0,0,1,0,0,0,0
ENSMUSG00000026589,0,1,0,0,0,0,0,1,0,0,0
ENSMUSG00000026592,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026594,460,358,361,614,706,424,804,329,46,111,415
ENSMUSG00000026596,522,424,411,530,692,451,1025,347,47,86,638
ENSMUSG00000026600,127,107,99,140,208,164,241,169,16,19,226
ENSMUSG00000026601,0,1,0,0,0,0,0,0,0,0,6
ENSMUSG00000026602,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000026603,85,56,57,52,84,96,101,57,4,11,145
ENSMUSG00000026604,86,83,72,90,148,117,154,41,11,27,201
ENSMUSG00000026605,3816,3242,3278,2409,3955,3039,4050,2179,107,282,1406
ENSMUSG00000026608,316,226,176,179,177,298,224,187,24,34,175
ENSMUSG00000026609,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026610,0,1,0,0,0,0,2,0,0,0,0
ENSMUSG00000026611,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026614,0,0,2,2,6,2,9,1,0,0,5
ENSMUSG00000026615,4934,3828,3927,4709,6035,4770,7350,3508,401,755,4228
ENSMUSG00000026616,1,1,4,1,0,4,5,2,1,2,15
ENSMUSG00000026617,333,280,169,110,170,368,160,214,15,18,136
ENSMUSG00000026618,784,683,521,653,908,1022,1021,530,18,64,555
ENSMUSG00000026620,4,4,9,25,38,46,58,24,0,5,50
ENSMUSG00000026621,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026622,329,362,175,60,132,389,76,201,6,5,45
ENSMUSG00000026623,152,103,92,78,177,204,191,209,6,12,140
ENSMUSG00000026626,420,378,341,413,603,447,799,369,31,51,368
ENSMUSG00000026627,24,24,21,12,20,26,35,28,0,2,18
ENSMUSG00000026628,13,7,11,1,7,3,8,8,2,1,25
ENSMUSG00000026630,2,3,4,4,1,1,9,9,2,2,23
ENSMUSG00000026632,60,78,49,22,59,55,82,37,1,7,46
ENSMUSG00000026634,401,289,276,276,405,423,490,330,9,38,314
ENSMUSG00000026637,16,2,3,2,3,16,1,7,0,1,6
ENSMUSG00000026638,11,10,11,14,23,15,23,18,0,4,16
ENSMUSG00000026639,1,0,0,0,2,0,0,0,0,0,6
ENSMUSG00000026640,6,3,4,9,11,18,14,16,2,1,17
ENSMUSG00000026641,78,118,35,4,32,188,11,86,0,1,12
ENSMUSG00000026643,836,725,753,796,1099,837,1682,500,80,159,1007
ENSMUSG00000026644,21,24,9,5,17,17,9,15,1,0,6
ENSMUSG00000026645,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000026646,280,243,238,109,260,331,228,196,2,12,129
ENSMUSG00000026648,23,24,21,5,26,26,27,29,3,0,35
ENSMUSG00000026649,8,11,4,5,23,11,11,16,4,1,17
ENSMUSG00000026650,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026655,74,50,38,29,48,57,53,27,1,2,35
ENSMUSG00000026656,8,15,8,0,22,30,14,6,0,0,3
ENSMUSG00000026657,148,92,98,55,97,157,90,81,2,7,50
ENSMUSG00000026659,396,290,261,163,403,431,364,207,5,14,186
ENSMUSG00000026662,738,649,517,369,768,854,732,498,8,47,409
ENSMUSG00000026663,140,144,92,83,128,206,101,92,13,16,120
ENSMUSG00000026664,117,85,79,67,84,115,168,96,0,13,133
ENSMUSG00000026667,237,187,144,115,178,274,251,220,9,21,200
ENSMUSG00000026668,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000026669,997,779,741,790,1338,956,1262,535,25,65,327
ENSMUSG00000026670,185,157,143,25,185,229,122,181,1,10,195
ENSMUSG00000026672,7,3,8,22,25,16,20,18,2,3,20
ENSMUSG00000026674,3,2,2,0,3,1,2,0,0,0,1
ENSMUSG00000026675,258,262,199,134,249,221,328,178,12,52,523
ENSMUSG00000026676,22,22,26,35,52,42,42,19,4,1,10
ENSMUSG00000026678,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026679,9,5,7,7,10,4,6,3,0,0,17
ENSMUSG00000026683,515,388,359,283,509,512,413,276,3,19,175
ENSMUSG00000026686,0,0,1,0,0,1,1,0,0,0,2
ENSMUSG00000026687,859,934,652,465,652,829,908,558,20,69,481
ENSMUSG00000026688,64,80,31,8,34,137,25,74,0,0,25
ENSMUSG00000026691,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026692,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026694,309,311,261,259,314,342,403,152,13,38,199
ENSMUSG00000026696,80,76,56,53,102,109,100,82,5,9,104
ENSMUSG00000026697,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026698,56,59,38,52,71,77,98,41,3,4,30
ENSMUSG00000026700,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026701,722,638,530,342,450,460,596,278,81,188,1087
ENSMUSG00000026705,134,125,77,56,137,163,127,108,3,7,85
ENSMUSG00000026707,48,56,50,29,45,34,62,13,4,1,19
ENSMUSG00000026708,269,202,216,191,304,311,351,173,1,8,114
ENSMUSG00000026709,185,130,109,35,118,158,69,111,1,7,41
ENSMUSG00000026712,19,9,14,2,6,5,6,10,1,0,15
ENSMUSG00000026715,0,1,1,1,0,1,0,0,0,0,5
ENSMUSG00000026718,256,179,154,108,255,354,207,216,5,15,159
ENSMUSG00000026721,18,10,7,30,67,46,62,34,1,4,54
ENSMUSG00000026723,49,39,16,14,29,72,36,38,3,4,35
ENSMUSG00000026725,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000026726,2,3,4,1,0,2,2,0,0,0,0
ENSMUSG00000026727,272,295,202,192,273,361,292,247,5,29,160
ENSMUSG00000026728,4747,3753,3332,2468,6286,8429,2617,3555,68,109,829
ENSMUSG00000026729,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000026730,0,7,1,3,7,7,10,8,0,1,3
ENSMUSG00000026734,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026735,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026736,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026737,89,59,45,41,59,74,64,37,5,3,42
ENSMUSG00000026739,98,82,85,53,105,152,141,115,0,7,100
ENSMUSG00000026740,181,166,174,284,438,279,451,226,19,47,389
ENSMUSG00000026743,766,586,623,1276,1706,914,2107,643,58,144,695
ENSMUSG00000026748,5,4,3,3,4,6,3,0,0,1,6
ENSMUSG00000026749,113,99,83,88,121,137,170,79,10,29,181
ENSMUSG00000026750,2713,2819,1923,612,2489,3533,2441,1676,20,95,1447
ENSMUSG00000026751,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000026753,389,323,255,305,390,439,461,274,20,54,299
ENSMUSG00000026754,57,55,65,51,102,69,116,41,6,14,74
ENSMUSG00000026755,1027,717,752,876,1431,1211,1554,723,23,128,1100
ENSMUSG00000026761,138,135,126,83,144,164,140,113,8,11,101
ENSMUSG00000026764,163,130,96,61,184,117,182,113,3,16,257
ENSMUSG00000026765,2,1,0,2,13,7,4,2,0,0,0
ENSMUSG00000026766,544,486,369,256,526,661,541,466,2,36,438
ENSMUSG00000026767,249,216,164,105,189,287,194,203,4,12,270
ENSMUSG00000026768,7,6,0,0,3,4,0,0,0,0,5
ENSMUSG00000026770,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026771,112,96,76,54,140,108,124,82,7,10,122
ENSMUSG00000026773,117,88,116,61,120,90,110,63,0,4,45
ENSMUSG00000026774,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026775,1071,933,807,640,1150,1013,1260,657,72,125,797
ENSMUSG00000026778,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026779,259,173,162,94,227,245,161,139,10,17,48
ENSMUSG00000026781,125,128,77,84,170,123,171,75,12,25,153
ENSMUSG00000026782,333,277,207,140,332,413,365,271,11,42,311
ENSMUSG00000026784,139,108,83,82,89,200,91,124,3,4,47
ENSMUSG00000026785,77,56,51,26,72,80,96,52,1,7,51
ENSMUSG00000026786,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000026787,2,4,6,3,6,4,2,3,0,1,10
ENSMUSG00000026788,177,131,126,164,220,149,244,115,8,12,157
ENSMUSG00000026790,1527,1226,1212,1399,2036,1583,1781,1013,62,137,645
ENSMUSG00000026791,39,24,31,28,50,22,50,40,0,1,70
ENSMUSG00000026792,52,69,43,37,40,58,82,30,2,13,68
ENSMUSG00000026796,307,233,231,452,493,357,549,231,18,74,422
ENSMUSG00000026797,92,62,75,63,105,97,165,101,20,35,213
ENSMUSG00000026798,133,114,113,166,217,171,194,76,10,27,74
ENSMUSG00000026799,231,221,151,221,235,230,318,129,22,37,282
ENSMUSG00000026803,1206,1069,1031,649,1412,1141,1144,647,18,66,555
ENSMUSG00000026805,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026806,202,162,126,124,179,123,191,94,10,17,126
ENSMUSG00000026807,1,2,1,1,2,5,2,6,0,0,1
ENSMUSG00000026809,0,0,0,0,0,1,3,1,0,0,0
ENSMUSG00000026810,486,407,355,430,819,654,921,392,19,55,414
ENSMUSG00000026811,55,54,39,113,102,87,147,44,3,9,46
ENSMUSG00000026812,195,165,178,212,305,235,344,139,16,33,207
ENSMUSG00000026814,66,86,35,65,105,108,197,41,2,12,84
ENSMUSG00000026815,0,0,0,0,0,0,0,3,0,0,3
ENSMUSG00000026816,169,133,109,52,136,155,122,98,1,17,69
ENSMUSG00000026817,258,212,193,351,414,349,422,196,11,28,138
ENSMUSG00000026818,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026819,92,86,75,59,91,94,132,64,8,20,96
ENSMUSG00000026820,136,118,111,170,147,201,196,85,8,13,86
ENSMUSG00000026821,108,113,66,58,162,189,111,84,1,8,195
ENSMUSG00000026822,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026824,1,0,2,0,0,1,1,0,0,0,0
ENSMUSG00000026825,3,1,0,1,4,5,8,2,0,3,3
ENSMUSG00000026826,6,14,12,28,53,39,35,16,0,2,32
ENSMUSG00000026827,890,686,698,1232,2382,1637,1808,1075,59,175,964
ENSMUSG00000026828,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026829,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026830,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026831,123,95,63,50,129,99,69,41,0,1,23
ENSMUSG00000026832,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000026833,8,16,8,32,30,32,63,43,6,11,146
ENSMUSG00000026834,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000026835,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026836,52,51,32,4,23,91,11,75,0,0,25
ENSMUSG00000026837,25,16,12,75,88,63,117,46,9,10,98
ENSMUSG00000026839,1,0,0,1,1,0,0,1,0,0,0
ENSMUSG00000026840,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000026841,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000026842,226,202,148,96,219,317,217,204,4,8,143
ENSMUSG00000026843,457,451,364,239,542,603,397,373,11,41,293
ENSMUSG00000026848,576,432,475,949,828,547,1184,389,75,130,658
ENSMUSG00000026849,196,193,128,50,168,287,76,181,2,4,59
ENSMUSG00000026851,458,331,286,200,324,471,320,254,9,21,182
ENSMUSG00000026853,23,22,11,19,34,41,66,32,5,7,35
ENSMUSG00000026854,82,64,66,154,167,97,224,74,15,17,168
ENSMUSG00000026856,308,245,238,49,365,481,183,253,0,12,142
ENSMUSG00000026857,204,153,128,330,360,248,383,177,13,15,165
ENSMUSG00000026858,52,54,44,105,99,86,135,40,3,25,107
ENSMUSG00000026860,201,160,145,272,313,286,485,161,26,38,237
ENSMUSG00000026864,5878,4872,4367,7297,8978,7400,8524,3653,363,1035,7004
ENSMUSG00000026866,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026867,674,534,531,672,982,726,1257,576,47,117,799
ENSMUSG00000026869,721,644,390,228,544,883,394,526,8,39,307
ENSMUSG00000026870,0,0,0,0,1,1,8,0,0,0,0
ENSMUSG00000026872,1,0,1,2,5,2,16,2,0,0,3
ENSMUSG00000026873,2,13,5,2,12,9,15,12,1,0,23
ENSMUSG00000026874,0,0,0,0,0,0,1,1,0,0,0
ENSMUSG00000026875,0,0,1,0,0,0,0,1,0,1,1
ENSMUSG00000026878,1568,1215,1224,1858,2570,1758,3318,1269,133,380,2374
ENSMUSG00000026879,11,9,8,7,27,28,24,17,1,4,104
ENSMUSG00000026880,19,30,11,32,20,8,58,14,8,7,66
ENSMUSG00000026882,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026883,424,377,353,544,710,487,925,390,59,101,628
ENSMUSG00000026885,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000026887,235,211,192,179,326,237,349,174,7,34,168
ENSMUSG00000026888,4,0,4,2,4,4,8,16,0,3,14
ENSMUSG00000026889,178,136,130,145,168,223,149,109,17,27,131
ENSMUSG00000026890,4,3,4,4,6,7,13,5,0,0,2
ENSMUSG00000026893,30,19,9,19,20,44,21,23,0,1,46
ENSMUSG00000026894,0,0,0,0,0,0,0,1,0,0,9
ENSMUSG00000026895,595,424,411,338,943,881,915,562,2,25,606
ENSMUSG00000026896,0,2,0,0,1,0,0,0,0,0,1
ENSMUSG00000026904,0,1,0,0,0,0,0,2,0,0,0
ENSMUSG00000026914,2293,1724,1497,473,1746,2546,869,1632,20,47,606
ENSMUSG00000026915,1513,1205,1197,2368,2403,1413,3490,1208,236,404,2430
ENSMUSG00000026917,3018,2206,1753,850,2756,4005,1205,1999,16,65,671
ENSMUSG00000026918,1512,1370,1381,1683,2489,1953,2822,1150,48,143,1097
ENSMUSG00000026919,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026921,359,351,327,429,501,304,1020,266,47,154,620
ENSMUSG00000026922,182,206,141,184,296,253,307,153,21,43,281
ENSMUSG00000026923,85,39,54,60,93,94,66,61,3,10,86
ENSMUSG00000026924,218,183,166,154,231,269,268,147,4,11,213
ENSMUSG00000026925,69,59,38,19,78,88,31,59,0,0,58
ENSMUSG00000026926,681,613,430,478,738,1036,669,583,28,38,320
ENSMUSG00000026927,547,361,296,89,478,788,347,476,4,15,300
ENSMUSG00000026928,3,1,4,0,0,3,0,0,0,0,0
ENSMUSG00000026930,7,2,7,9,17,14,30,15,1,5,34
ENSMUSG00000026931,0,0,0,0,0,0,0,0,0,0,4
ENSMUSG00000026932,44,40,43,64,73,52,88,21,0,12,53
ENSMUSG00000026933,574,447,402,391,902,690,826,461,7,45,543
ENSMUSG00000026934,2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026936,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026937,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026938,0,0,0,0,0,0,4,0,0,0,0
ENSMUSG00000026939,36,25,27,46,35,63,96,59,2,12,59
ENSMUSG00000026940,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026941,8,5,7,9,11,9,4,5,1,4,10
ENSMUSG00000026942,67,45,51,83,69,54,87,42,6,9,69
ENSMUSG00000026943,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026944,69,51,58,116,147,88,215,81,8,16,136
ENSMUSG00000026946,3,2,7,0,2,2,4,2,0,0,2
ENSMUSG00000026950,17,10,14,3,13,7,1,1,0,3,4
ENSMUSG00000026955,174,127,127,139,195,169,240,95,6,22,99
ENSMUSG00000026956,150,93,84,105,145,121,202,104,6,10,123
ENSMUSG00000026958,136,161,138,186,158,167,216,84,17,25,153
ENSMUSG00000026959,3,7,2,19,17,10,1,2,0,2,7
ENSMUSG00000026960,297,281,250,318,368,349,609,194,58,62,305
ENSMUSG00000026961,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026963,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026965,361,321,251,472,504,479,712,271,26,65,268
ENSMUSG00000026966,214,188,119,211,284,304,379,185,15,31,155
ENSMUSG00000026969,1,2,0,5,5,2,2,2,15,5,0
ENSMUSG00000026970,341,294,250,145,604,643,489,501,15,44,794
ENSMUSG00000026971,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026972,39,57,20,29,65,72,87,37,0,4,34
ENSMUSG00000026974,498,449,370,522,756,664,1009,345,34,79,456
ENSMUSG00000026975,72,77,31,2,34,119,12,57,0,2,4
ENSMUSG00000026976,4,2,5,0,0,6,0,4,3,0,0
ENSMUSG00000026977,1031,867,748,585,1056,1065,1201,746,41,100,932
ENSMUSG00000026979,0,2,3,4,11,2,6,2,0,0,9
ENSMUSG00000026980,320,362,278,424,494,338,571,233,7,12,100
ENSMUSG00000026981,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000026983,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026984,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026985,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026986,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000026987,463,384,366,695,978,669,1038,478,41,73,524
ENSMUSG00000026988,139,108,88,32,66,119,79,91,0,7,64
ENSMUSG00000026989,2,2,4,3,2,1,5,0,0,0,0
ENSMUSG00000026991,1386,1118,1018,1550,2027,1511,2311,910,84,166,1264
ENSMUSG00000026994,1,1,0,2,4,2,7,2,0,0,3
ENSMUSG00000026999,514,425,321,119,348,552,238,251,6,22,120
ENSMUSG00000027001,79,111,63,65,141,156,154,107,4,8,87
ENSMUSG00000027002,805,749,576,673,1009,1034,1214,670,29,82,919
ENSMUSG00000027004,0,0,0,0,0,0,0,0,0,0,3
ENSMUSG00000027006,554,502,398,450,681,688,795,406,50,91,641
ENSMUSG00000027007,24,30,17,10,25,53,24,31,3,4,32
ENSMUSG00000027009,1,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000027010,503,426,314,302,464,389,480,272,9,38,259
ENSMUSG00000027011,773,698,595,856,968,863,1263,662,34,109,673
ENSMUSG00000027012,3033,2342,2311,3823,5150,3120,6438,2417,162,570,3825
ENSMUSG00000027014,390,326,245,319,414,461,588,329,17,41,228
ENSMUSG00000027015,0,0,0,2,5,1,4,0,0,0,8
ENSMUSG00000027016,1,3,0,1,3,0,0,0,0,0,4
ENSMUSG00000027018,1888,1426,1204,495,1760,2250,1190,1452,16,55,582
ENSMUSG00000027022,0,0,0,0,3,4,2,2,0,0,2
ENSMUSG00000027030,4,5,4,21,18,9,17,9,0,3,10
ENSMUSG00000027035,59,38,51,35,67,94,55,76,2,6,46
ENSMUSG00000027048,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000027067,4398,3351,3346,4514,6557,4387,7907,2972,202,549,3027
ENSMUSG00000027068,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000027070,2,0,1,2,23,22,19,26,2,1,7
ENSMUSG00000027071,0,0,0,0,0,0,2,1,0,0,0
ENSMUSG00000027072,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000027073,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000027074,1,1,2,0,2,4,3,6,0,0,18
ENSMUSG00000027075,19,11,23,28,22,25,46,14,1,3,11
ENSMUSG00000027076,657,535,452,693,925,760,811,403,20,51,291
ENSMUSG00000027077,8,8,8,11,47,22,7,11,1,0,1
ENSMUSG00000027078,111,141,107,208,319,254,588,107,12,2,109
ENSMUSG00000027079,261,227,159,71,208,316,174,173,2,9,106
ENSMUSG00000027080,1746,1336,1336,1653,2548,1736,2779,1042,95,209,1310
ENSMUSG00000027082,270,249,204,202,327,384,318,254,6,20,220
ENSMUSG00000027086,228,202,133,146,214,269,309,156,11,23,154
ENSMUSG00000027087,24,31,24,71,74,48,104,35,7,17,132
ENSMUSG00000027088,144,137,128,87,186,183,122,111,0,3,88
ENSMUSG00000027091,4087,3226,3375,3965,6109,3936,7417,2922,365,758,4266
ENSMUSG00000027099,242,208,122,53,205,355,121,227,0,7,100
ENSMUSG00000027102,0,0,0,0,0,0,5,3,0,0,4
ENSMUSG00000027104,472,393,308,152,357,511,357,363,2,27,224
ENSMUSG00000027107,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000027108,2141,1584,1485,1618,2415,2207,2681,1650,47,170,1170
ENSMUSG00000027109,466,392,335,308,490,523,535,343,20,29,228
ENSMUSG00000027111,1195,980,941,1334,2005,1593,1779,1018,84,172,887
